NFDName,NFDCode,model.name,term,estimate,std.error,statistic,p.value
Xeric,3,da.sq.mi,(Intercept),-2.8204332633127716,0.38089622067860585,-7.4047289266558725,4.227305240713799e-11
Xeric,3,da.sq.mi,da.sq.mi,1.4652837847993554,0.17193835035932345,8.52214634918358,1.6894512113483515e-13
Xeric,3,da.sq.mi + elev.ft.8,(Intercept),-5.046541404162054,1.1210708805737415,-4.50153642522526,1.843815479427614e-5
Xeric,3,da.sq.mi + elev.ft.8,da.sq.mi,1.5031988296688923,0.17001181626860165,8.841731490557036,3.658282187427978e-14
Xeric,3,da.sq.mi + elev.ft.8,elev.ft.8,0.6628758480096264,0.3146467042852861,2.1067306251159885,0.037668896244511856
Xeric,3,da.sq.mi + relief.ft.8,(Intercept),-2.4332805312755563,2.639415347195662,-0.9219013346500691,0.35882127347383463
Xeric,3,da.sq.mi + relief.ft.8,da.sq.mi,1.4648192336396684,0.17281377903877412,8.476287260120664,2.2657236849316546e-13
Xeric,3,da.sq.mi + relief.ft.8,relief.ft.8,-0.10164005492935409,0.6856061461753344,-0.14824845940538145,0.8824482258752051
Xeric,3,da.sq.mi + slope.pct.8,(Intercept),-3.9831753617091517,0.8374891505913646,-4.756091895514786,6.7182060494232875e-6
Xeric,3,da.sq.mi + slope.pct.8,da.sq.mi,1.4924916775169466,0.17162224493999512,8.696376615040618,7.563357662305004e-14
Xeric,3,da.sq.mi + slope.pct.8,slope.pct.8,0.859999630050614,0.5526676277158228,1.5560883013991527,0.1228782351602433
Xeric,3,da.sq.mi + precip.in.8,(Intercept),-4.826482384966566,0.7242484947423149,-6.664124841134549,1.519264469100547e-9
Xeric,3,da.sq.mi + precip.in.8,da.sq.mi,1.4056288666950274,0.1655317125397229,8.491598649761546,2.0994587921305398e-13
Xeric,3,da.sq.mi + precip.in.8,precip.in.8,1.507731949630194,0.47043017163977574,3.205006907560162,0.0018182314155053723
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-9.199901498715265,1.405013663106738,-6.547908920951436,2.6996480509989237e-9
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.446705527514135,0.1569571624354841,9.217199808315794,6.052298163539963e-15
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,1.0895636011725731,0.30563300553690603,3.5649408978540613,5.645053301291686e-4
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,2.0446573233930128,0.46966273230996247,4.353458732688213,3.294871296891388e-5
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-6.647998819026432,2.8318528360545403,-2.3475792012867136,0.02090637282030851
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.4044751034777185,0.1660085132264893,8.460259514291055,2.618075887820469e-13
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,0.4498685910972034,0.6760022783794255,0.665483838568813,0.5073043526308203
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,1.5888599698419366,0.4872562420196331,3.2608304067204057,0.0015285796893231693
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-4.824206622844765,0.8665352570398315,-5.567236397656482,2.2605422076719358e-7
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.4054808636143326,0.16915979774252113,8.308598629052637,5.545203521351932e-13
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-0.003002082169613437,0.6201362523705523,-0.004841004147294379,0.9961472934815012
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,1.5090721385838992,0.5479084794574286,2.754241255908782,0.007013067942208552
Interior Mountains,2,da.sq.mi,(Intercept),-1.1937396888055911,0.1583534162958921,-7.5384523853594825,9.629704293103066e-12
Interior Mountains,2,da.sq.mi,da.sq.mi,0.9979292447034207,0.0715054463407614,13.95598930951019,5.741366138121892e-27
Interior Mountains,2,da.sq.mi + elev.ft.8,(Intercept),-0.05777705490273888,2.6272904558238097,-0.021991118178299164,0.9824915657788502
Interior Mountains,2,da.sq.mi + elev.ft.8,da.sq.mi,0.991747487212217,0.07315227791837008,13.55730150083499,5.805551017362727e-26
Interior Mountains,2,da.sq.mi + elev.ft.8,elev.ft.8,-0.30080320402448774,0.694433822032401,-0.4331632395785769,0.6656737807126529
Interior Mountains,2,da.sq.mi + relief.ft.8,(Intercept),0.15822935392947507,1.6326021560596142,0.09691850114382511,0.9229527997895788
Interior Mountains,2,da.sq.mi + relief.ft.8,da.sq.mi,1.0125321933965452,0.07371631078798499,13.735524507034578,2.2272521520607798e-26
Interior Mountains,2,da.sq.mi + relief.ft.8,relief.ft.8,-0.3507286822362494,0.4215286203889389,-0.8320400211796691,0.4070390778417454
Interior Mountains,2,da.sq.mi + slope.pct.8,(Intercept),-1.7086137960982801,0.6586592095920881,-2.5940786543566827,0.010665383166661576
Interior Mountains,2,da.sq.mi + slope.pct.8,da.sq.mi,0.9965984697210063,0.07162854718871482,13.913425705750203,8.584143386264445e-27
Interior Mountains,2,da.sq.mi + slope.pct.8,slope.pct.8,0.36712962581216235,0.45583926661518703,0.8053927177846395,0.42218608685372516
Interior Mountains,2,da.sq.mi + precip.in.8,(Intercept),-2.4168721593083387,0.7014729630649068,-3.4454245374596244,7.863619826674243e-4
Interior Mountains,2,da.sq.mi + precip.in.8,da.sq.mi,1.0030930669225266,0.07092273120342006,14.143463596254668,2.5130236499854917e-27
Interior Mountains,2,da.sq.mi + precip.in.8,precip.in.8,0.7706325529579291,0.43075975543494394,1.7890077780822653,0.0761363316596371
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-3.8845549468133944,3.3727511874542553,-1.1517466693846004,0.2517338902333788
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.0108838901760948,0.07328336257300891,13.794179943216944,1.930531656391718e-26
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,0.34607926730301203,0.7777845909514916,0.4449551602451277,0.6571604467468879
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,0.8719053922198862,0.4884723963733808,1.7849634875855198,0.07681495962676424
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),0.6773548444397927,1.604205788768789,0.42223687832447937,0.6736140159561536
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.0500062809438384,0.07325633423011492,14.333317275275176,1.1031961554736759e-27
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,-1.035683635207808,0.48454208001865706,-2.137448279348472,0.03460767532172063
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,1.3364585091114536,0.5002719009131698,2.671464271073297,0.008609994247633514
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-2.3102769200462863,0.7498990200054709,-3.0807840234668284,0.0025649427473428683
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.0049459607093831,0.07131107983090008,14.092423829402259,3.9493725769662096e-27
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-0.2412544661411543,0.5852084677285677,-0.4122538880504602,0.6808950498665071
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,0.9166447344267334,0.5588291662792496,1.6402950843275808,0.1035845835519438
North Coastal Mountains,1,da.sq.mi,(Intercept),-1.5809232735886773,0.4146112367811009,-3.813025633030166,5.183040700732339e-4
North Coastal Mountains,1,da.sq.mi,da.sq.mi,1.1696343597517902,0.16686866206708362,7.009311066937063,3.191784523234102e-8
North Coastal Mountains,1,da.sq.mi + elev.ft.8,(Intercept),-4.843905595444582,2.179540069116747,-2.2224439293779823,0.03281114912314713
North Coastal Mountains,1,da.sq.mi + elev.ft.8,da.sq.mi,1.1016402504310023,0.1698508400793099,6.48592759339079,1.778030360123384e-7
North Coastal Mountains,1,da.sq.mi + elev.ft.8,elev.ft.8,1.0069936775365353,0.6607876937751281,1.5239292242013578,0.1365120631049772
North Coastal Mountains,1,da.sq.mi + relief.ft.8,(Intercept),-9.662007528538293,3.1014633110630028,-3.1153060860251527,0.0036566273307017862
North Coastal Mountains,1,da.sq.mi + relief.ft.8,da.sq.mi,1.053240958664712,0.16090993704614956,6.545530860301304,1.4862454590668155e-7
North Coastal Mountains,1,da.sq.mi + relief.ft.8,relief.ft.8,2.1896333580316663,0.833888410132611,2.625810997521185,0.012734412363780959
North Coastal Mountains,1,da.sq.mi + slope.pct.8,(Intercept),-9.222570844037872,2.525020988023319,-3.6524729448913,8.41973708352057e-4
North Coastal Mountains,1,da.sq.mi + slope.pct.8,da.sq.mi,1.1234998536842178,0.15107243245896831,7.436829045493548,1.05254297161376e-8
North Coastal Mountains,1,da.sq.mi + slope.pct.8,slope.pct.8,4.855123787758043,1.5866261307715643,3.0600301442136417,0.004230111073501835
North Coastal Mountains,1,da.sq.mi + precip.in.8,(Intercept),-5.06732712623379,1.998759514833633,-2.5352360244576846,0.015860086875329832
North Coastal Mountains,1,da.sq.mi + precip.in.8,da.sq.mi,1.184089281855229,0.16225651636198238,7.297637767679006,1.5841116294157622e-8
North Coastal Mountains,1,da.sq.mi + precip.in.8,precip.in.8,1.928923865238107,1.0831833957536263,1.780791574907826,0.08362815302563237
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-11.238921977241795,3.2733134458376454,-3.4335000797229607,0.0015849631622481765
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.0889921032642298,0.15853676820087634,6.86901919108384,6.557306866553389e-8
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,1.490739997528907,0.6462737376291297,2.306669621138748,0.02729541201584221
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,2.670925448611942,1.0713713238957014,2.49299695543462,0.01769806733213927
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-13.410118382423894,3.5103069554229744,-3.820212463672722,5.403997522271323e-4
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.0661438506551955,0.154469674842249,6.901962160171483,5.953767756204644e-8
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,2.22815454467069,0.8000514271743342,2.7850141490781524,0.008685228066452784
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,1.9950619675017591,0.9919721517763636,2.0112076371590906,0.05228540282820095
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-13.492918064677228,3.0445708771426743,-4.43179633818882,9.246457031288077e-5
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.1373826030516627,0.14303517707221597,7.951768413426147,2.90176031938872e-9
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,5.093612212920733,1.5045310594362942,3.385514829337699,0.0018062716572330322
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,2.154978051465697,0.9527572634786295,2.26183324344085,0.030215720354922093
